,course_skills,course_description
0,"['HTML', 'Javascript', 'JavaScript', 'CSS']","Students will learn three main languages: CSS, HTML and Javascript. They will also learn illustration and design through Adobe Suite.  Students receive the core skills needed to build websites from the ground up and are guided in building a relevant portfolio. Codez Academy provides an industry-standard experience to give students the best chance of gaining employment upon completion of the scheme."
1,"['HTML', 'Javascript', 'JavaScript', 'CSS']","Students will create two websites (a 1-page website and a 5-page website) over the course of 12 weeks. Students will learn to code in HTML, CSS and Javascript. Students will experience the following: 

-Discover FTP (File Transfer Process) website servers
-Develop link building skills
-Learn the Bootstrap framework for responsive design
-Learn how to font with Awesome icons
-Learn how to use Photoshop
-Learn how to implement contact forms"
2,"['HTML', 'Express.js', 'Design', 'MongoDB', 'C#', 'CSS', 'Data Structures', 'React.js', 'Front End', 'Git', 'User Experience Design', 'JavaScript', 'Algorithms', 'Node.js', 'SQL']","Learn Full-Stack Web Development on our 16 week Coding Bootcamp, completely *free of charge*. The aim of the course is to get more and different types of people into technology, and we partner with great companies who want to see the same happen such as Packt Publishing to allow us to run our first Bootcamp for free."
3,"['Java', 'Quality Assurance Testing']","Do you think that if you have yet no clue about coding then entering the IT industry will take too long? Not necessarily! The Automation Tester course may be an answer. Within just two weeks you will become a Junior Test Automation Specialist. Throughout this course, you will learn how to create automated tests. You will learn about the tools and the work environment of a tester and go through a complete Scrum sprint while becoming familiar with testing practices. In addition, this course can be combined into a bundle with the Manual Tester course."
4,"['HTML', 'MySQL', 'Git', 'JavaScript', 'jQuery', 'Java', 'GitHub', 'SQL']","During the course, you will learn Java for Internet applications from scratch. This universal language works for mobile applications to even banking systems. It’s universal which gives you the possibility to enter quite an exciting career path. You will get to know Spring - one of the most important Java frameworks and the Hibernate library. Java will be perfect for you if you like logic puzzles and analyzing problems thoroughly."
5,"['HTML', 'MongoDB', 'CSS', 'React.js', 'JavaScript', 'jQuery', 'Node.js']","JavaScript Developer
Our JavaScript Developer bootcamp helps you to start with the basics. By focusing on front-end related issues, the course allows you to self-sufficiently develop responsive websites based on any given layout. You don’t have to have any experience to join this program. This course is right for you if you are interested in running web applications and learning what they look like.  You will learn how to make your first website, understand advanced issues related to setting up elements on the page and how to breathe life into your static website using JavaScript. You will put your knowledge into practice. This is where you will learn how to combine the acquired knowledge and prepare the final project. It will be a showcase for your future employer."
6,"['HTML', 'REST', 'Linux', 'CSS', 'MySQL', 'Scrum', 'Agile']","If you consider entering the IT job market then manual testing is considered as the quickest way to achieve it. The Manual Tester course will help you to start your adventure with IT. You will learn about good practices in testing, the tools, and the work environment of a tester. You also take part in a full Scrum sprint. In a very short time, you will become a Junior Manual Tester, which will be confirmed by passing an exam and getting an ISTQB (International Software Testing Qualifications Board) certificate. "
7,"['HTML', 'CSS', 'MySQL', 'Django', 'Git', 'JavaScript', 'jQuery', 'GitHub', 'Python']","Python developer bootcamp is a basic course that will lead you to create your first applications. By learning the back-end Python, you will know the secrets of writing the server-side code. You will be responsible for system logic and making sure that the front-end part receives the appropriate information to display correctly in the browser window. After completing the Python Developer course, you can develop your professional career towards a full-stack developer, software architect, or project manager. "
8,"['HTML', 'Express.js', 'MongoDB', 'Quality Assurance Testing', 'CSS', 'React.js', 'MySQL', 'Front End', 'Git', 'JavaScript', 'Scrum', 'Agile', 'jQuery', 'AngularJS', 'Node.js']","Spend 12 weeks (full-time) training with our instructors, learning the foundations you need to launch a thriving tech career. Upon successful completion of the training, we’ll hire you as a _nologist. You’ll then be deployed to work on-site with one of our clients (think Deutsche Bank, Admiral, and Accenture) as a Junior Software Developer or Junior Cloud Engineer depending on the training cohort you joined.


Training is open to any tech enthusiast, from any background. No previous coding experience or background in tech is necessary – just the passion and determination to learn!


Upon successful completion of your training, you’ll receive a conditional job placement. We’ll deploy you as a Junior Cloud Engineer or a Junior Software Developer (dependent on the training cohort you joined) on an 18-month placement with one of our UK clients in an office-based, hybrid, or remote role. In response to market conditions and the rising cost of living, we have increased the _nologist salary range. This means that our new _nologist salaries will be as follows:
0-6 months employed – £26,000
7-12 months employed – £28,000
13-18 months employed – £30,000


During your 18-month client placement you’ll gain practical experience working on a variety of exciting projects as part of a real tech team. Our Talent Team will be on hand throughout your placement to support and provide further coaching, with check-ins at week 1 and week 2, and monthly thereafter."
9,"['HTML', 'Cloud Computing', 'Front End', 'JavaScript', 'Java']","Spend 12 weeks (full-time) training with our instructors, learning the foundations you need to launch a thriving tech career. Upon successful completion of the training, we’ll hire you as a _nologist. You’ll then be deployed to work on-site with one of our clients (think Deutsche Bank, Admiral, and Accenture) as a Junior Software Developer or Junior Cloud Engineer depending on the training cohort you joined.


Training is open to any tech enthusiast, from any background. No previous coding experience or background in tech is necessary – just the passion and determination to learn!


Upon successful completion of your training, you’ll receive a conditional job placement. We’ll deploy you as a Junior Cloud Engineer or a Junior Software Developer (dependent on the training cohort you joined) on an 18-month placement with one of our UK clients in an office-based, hybrid, or remote role. In response to market conditions and the rising cost of living, we have increased the _nologist salary range. This means that our new _nologist salaries will be as follows:
0-6 months employed – £26,000
7-12 months employed – £28,000
13-18 months employed – £30,000


During your 18-month client placement you’ll gain practical experience working on a variety of exciting projects as part of a real tech team. Our Talent Team will be on hand throughout your placement to support and provide further coaching, with check-ins at week 1 and week 2, and monthly thereafter."
